NodeId,Time,Hum,Tem,Pm1,Pm2p5,Pm10,CO
BCDDC26C4CF4,1597942570,118.990,28.470,0.000,3.000,6.900,0.000
BCDDC26C4CF4,1597942749,118.990,28.500,0.000,2.790,6.200,0.000
BCDDC26C4CF4,1597942929,118.990,28.470,0.000,2.790,7.260,0.000
BCDDC26C4CF4,1597943110,118.990,28.520,0.000,2.960,7.690,0.000
BCDDC26C4CF4,1597943288,118.990,28.470,0.000,3.290,7.460,0.000
BCDDC26C4CF4,1597943467,118.990,28.480,0.000,3.360,7.230,0.000
BCDDC26C4CF4,1597943648,118.990,28.490,0.000,3.460,7.360,0.000
BCDDC26C4CF4,1597943829,118.990,28.430,0.000,3.430,7.390,0.000
BCDDC26C4CF4,1597944006,118.990,28.400,0.000,3.500,7.630,0.000
BCDDC26C4CF4,1597944186,118.990,28.450,0.000,3.430,7.700,0.000
BCDDC26C4CF4,1597944366,118.990,28.490,0.000,3.830,8.660,0.000
BCDDC26C4CF4,1597944551,118.990,28.440,0.000,3.830,7.900,0.000
BCDDC26C4CF4,1597944726,118.990,28.330,0.000,3.790,7.700,0.000
BCDDC26C4CF4,1597944908,118.990,28.330,0.000,4.300,9.630,0.000
BCDDC26C4CF4,1597945090,118.990,28.350,0.000,4.360,9.460,0.000
BCDDC26C4CF4,1597945270,118.990,28.300,0.000,5.130,10.130,0.000
BCDDC26C4CF4,1597945448,118.990,28.250,0.000,4.930,9.430,0.000
BCDDC26C4CF4,1597945630,118.990,28.270,0.000,5.500,10.500,0.000
BCDDC26C4CF4,1597945811,118.990,28.310,0.000,8.500,15.360,0.000
BCDDC26C4CF4,1597945987,118.990,28.310,0.000,9.430,17.760,0.000
BCDDC26C4CF4,1597946171,118.990,28.300,0.000,10.330,18.560,0.000
BCDDC26C4CF4,1597946347,118.990,28.490,0.000,12.930,22.100,0.000
BCDDC26C4CF4,1597946529,118.990,28.500,0.000,13.730,22.730,0.000
BCDDC26C4CF4,1597946710,118.990,28.380,0.000,13.230,23.130,0.000
BCDDC26C4CF4,1597946886,118.990,28.340,0.000,13.690,22.460,0.000
BCDDC26C4CF4,1597947068,118.990,28.360,0.000,13.090,22.000,0.000
BCDDC26C4CF4,1597947248,118.990,28.380,0.000,12.160,20.730,0.000
BCDDC26C4CF4,1597947431,118.990,28.400,0.000,11.300,19.600,0.000
BCDDC26C4CF4,1597947607,118.990,28.350,0.000,10.330,19.100,0.000
BCDDC26C4CF4,1597947791,118.990,28.350,0.000,8.300,14.300,0.000
BCDDC26C4CF4,1597947970,118.990,28.350,0.000,8.060,16.100,0.000
BCDDC26C4CF4,1597948150,118.990,28.350,0.000,7.790,15.530,0.000
BCDDC26C4CF4,1597948329,118.990,28.320,0.000,7.560,15.060,0.000
BCDDC26C4CF4,1597948509,118.990,28.370,0.000,7.630,16.960,0.000
BCDDC26C4CF4,1597948691,118.990,28.370,0.000,7.330,16.059,0.000
BCDDC26C4CF4,1597948870,118.990,28.310,0.000,6.460,15.760,0.000
BCDDC26C4CF4,1597949050,118.990,28.260,0.000,6.160,13.890,0.000
BCDDC26C4CF4,1597949227,118.990,28.190,0.000,6.360,13.900,0.000
BCDDC26C4CF4,1597949409,118.990,28.230,0.000,6.230,13.000,0.000
BCDDC26C4CF4,1597949587,118.990,28.250,0.000,5.760,10.730,0.000
BCDDC26C4CF4,1597949771,118.990,28.160,0.000,5.360,10.800,0.000
BCDDC26C4CF4,1597949949,118.990,28.120,0.000,4.900,9.830,0.000
BCDDC26C4CF4,1597950128,118.990,28.090,0.000,5.060,10.590,0.000
BCDDC26C4CF4,1597950311,118.990,27.980,0.000,4.900,9.130,0.000
BCDDC26C4CF4,1597950488,118.990,27.940,0.000,5.160,11.060,0.000
BCDDC26C4CF4,1597950666,118.990,27.890,0.000,5.130,9.960,0.000
BCDDC26C4CF4,1597950849,118.990,27.890,0.000,5.730,11.300,0.000
BCDDC26C4CF4,1597951027,118.990,27.900,0.000,5.960,11.090,0.000
BCDDC26C4CF4,1597951211,118.990,28.020,0.000,6.230,11.160,0.000
BCDDC26C4CF4,1597951390,118.990,28.040,0.000,6.000,9.930,0.000
BCDDC26C4CF4,1597951570,118.990,27.950,0.000,6.260,10.430,0.000
BCDDC26C4CF4,1597951751,118.990,27.970,0.000,6.760,11.430,0.000
BCDDC26C4CF4,1597951932,118.990,27.980,0.000,6.290,10.400,0.000
BCDDC26C4CF4,1597952109,118.990,27.840,0.000,6.330,10.060,0.000
BCDDC26C4CF4,1597952287,118.990,27.740,0.000,6.590,11.300,0.000
BCDDC26C4CF4,1597952469,118.990,27.730,0.000,6.530,9.360,0.000
BCDDC26C4CF4,1597952646,118.990,27.660,0.000,6.330,8.560,0.000
BCDDC26C4CF4,1597952831,118.990,27.580,0.000,6.260,9.390,0.000
BCDDC26C4CF4,1597953010,118.990,27.530,0.000,6.530,9.030,0.000
BCDDC26C4CF4,1597953189,118.990,27.480,0.000,6.530,8.930,0.000
BCDDC26C4CF4,1597953368,118.990,27.500,0.000,5.930,8.590,0.000
BCDDC26C4CF4,1597953546,118.990,27.470,0.000,6.360,9.760,0.000
BCDDC26C4CF4,1597953729,118.990,27.430,0.000,5.900,8.930,0.000
BCDDC26C4CF4,1597953906,118.990,27.470,0.000,5.430,8.830,0.000
BCDDC26C4CF4,1597954087,118.990,27.440,0.000,5.530,8.460,0.000
BCDDC26C4CF4,1597954270,118.990,27.440,0.000,5.530,9.630,0.000
BCDDC26C4CF4,1597954446,118.990,27.450,0.000,5.630,8.830,0.000
BCDDC26C4CF4,1597954628,118.990,27.470,0.000,5.330,9.330,0.000
BCDDC26C4CF4,1597954811,118.990,27.430,0.000,5.930,9.430,0.000
BCDDC26C4CF4,1597954989,118.990,27.480,0.000,5.690,9.300,0.000
BCDDC26C4CF4,1597955170,118.990,27.540,0.000,5.800,9.230,0.000
BCDDC26C4CF4,1597955348,118.990,27.500,0.000,5.760,10.230,0.000
BCDDC26C4CF4,1597955530,118.990,27.460,0.000,5.830,9.690,0.000
BCDDC26C4CF4,1597955709,118.990,27.520,0.000,5.900,9.060,0.000
BCDDC26C4CF4,1597955891,118.990,27.470,0.000,6.400,11.860,0.000
BCDDC26C4CF4,1597956068,118.990,27.430,0.000,6.230,9.500,0.000
BCDDC26C4CF4,1597956250,118.990,27.440,0.000,6.530,11.830,0.000
BCDDC26C4CF4,1597956426,118.990,27.460,0.000,5.930,9.430,0.000
BCDDC26C4CF4,1597956609,118.990,27.560,0.000,5.460,9.690,0.000
BCDDC26C4CF4,1597956788,118.990,27.560,0.000,5.790,10.730,0.000
BCDDC26C4CF4,1597956971,118.990,27.610,0.000,5.330,10.860,0.000
BCDDC26C4CF4,1597957148,118.990,27.610,0.000,5.550,10.750,0.000
BCDDC26C4CF4,1597957331,118.990,27.620,0.000,5.360,11.260,0.000
BCDDC26C4CF4,1597957507,118.990,27.600,0.000,5.560,10.500,0.000
BCDDC26C4CF4,1597957690,118.990,27.640,0.000,5.930,11.160,0.000
BCDDC26C4CF4,1597957871,118.990,27.650,0.000,5.760,11.360,0.000
