NodeId,Time,Hum,Tem,Pm1,Pm2p5,Pm10,CO
50029167E78E,1593536569,58.500,32.420,0.000,4.700,10.560,0.000
50029167E78E,1593536748,58.960,32.240,0.000,4.590,10.330,0.000
50029167E78E,1593536928,58.290,32.360,0.000,4.400,11.190,0.000
50029167E78E,1593537107,58.050,32.299,0.000,4.059,8.430,0.000
50029167E78E,1593537288,57.360,32.360,0.000,4.400,9.530,0.000
50029167E78E,1593537468,56.750,32.530,0.000,4.660,9.560,0.000
50029167E78E,1593537652,55.880,32.610,0.000,4.190,8.400,0.000
50029167E78E,1593537828,54.820,32.650,0.000,4.960,10.900,0.000
50029167E78E,1593538009,54.140,32.900,0.000,4.700,10.330,0.000
50029167E78E,1593538187,53.790,33.090,0.000,4.730,10.060,0.000
50029167E78E,1593538369,54.660,32.800,0.000,4.800,11.530,0.000
50029167E78E,1593538548,55.320,32.659,0.000,5.090,11.160,0.000
50029167E78E,1593538729,54.920,32.830,0.000,4.730,10.830,0.000
50029167E78E,1593538909,54.460,32.980,0.000,4.930,11.190,0.000
50029167E78E,1593539089,54.410,33.020,0.000,4.690,11.960,0.000
50029167E78E,1593539267,54.980,32.830,0.000,4.360,10.060,0.000
50029167E78E,1593539448,54.850,32.900,0.000,4.730,10.160,0.000
50029167E78E,1593539629,54.650,33.050,0.000,4.400,9.300,0.000
50029167E78E,1593539809,54.830,33.080,0.000,4.230,8.390,0.000
50029167E78E,1593539988,55.070,32.960,0.000,4.030,10.430,0.000
50029167E78E,1593540168,55.640,32.780,0.000,4.090,8.500,0.000
50029167E78E,1593540347,56.260,32.610,0.000,4.090,8.500,0.000
50029167E78E,1593540528,56.810,32.500,0.000,4.330,10.600,0.000
50029167E78E,1593540709,56.700,32.549,0.000,4.330,9.400,0.000
50029167E78E,1593540889,56.820,32.600,0.000,4.400,10.060,0.000
50029167E78E,1593541067,56.470,32.650,0.000,4.590,10.160,0.000
50029167E78E,1593541252,57.030,32.490,0.000,4.700,9.000,0.000
50029167E78E,1593541427,56.450,32.720,0.000,4.830,9.900,0.000
50029167E78E,1593541607,56.060,32.840,0.000,4.930,10.060,0.000
50029167E78E,1593541788,55.950,32.880,0.000,4.700,9.660,0.000
50029167E78E,1593541967,55.890,32.830,0.000,4.800,10.900,0.000
50029167E78E,1593542149,55.920,32.840,0.000,4.530,8.600,0.000
50029167E78E,1593542328,55.710,32.960,0.000,4.590,9.090,0.000
50029167E78E,1593542509,55.660,33.030,0.000,4.860,10.960,0.000
50029167E78E,1593542688,56.550,32.780,0.000,5.000,9.930,0.000
50029167E78E,1593542870,56.530,32.800,0.000,5.430,12.060,0.000
50029167E78E,1593543047,57.030,32.729,0.000,6.460,15.200,0.000
50029167E78E,1593543229,56.780,32.840,0.000,18.030,38.290,0.000
50029167E78E,1593543409,57.170,32.750,0.000,19.800,44.460,0.000
50029167E78E,1593543588,56.980,32.870,0.000,15.960,35.200,0.000
50029167E78E,1593543769,57.340,32.860,0.000,7.560,17.100,0.000
50029167E78E,1593543949,57.310,32.910,0.000,6.930,18.160,0.000
50029167E78E,1593544129,57.530,32.940,0.000,7.790,17.890,0.000
50029167E78E,1593544308,57.960,32.890,0.000,7.300,19.590,0.000
50029167E78E,1593544488,58.990,32.720,0.000,7.560,16.460,0.000
50029167E78E,1593544668,59.640,32.610,0.000,7.400,14.860,0.000
50029167E78E,1593544847,60.170,32.619,0.000,7.430,15.860,0.000
50029167E78E,1593545028,59.950,32.590,0.000,8.000,17.330,0.000
50029167E78E,1593545209,60.570,32.600,0.000,7.030,13.400,0.000
50029167E78E,1593545390,61.090,32.460,0.000,6.960,16.329,0.000
50029167E78E,1593545567,61.050,32.580,0.000,7.860,16.129,0.000
50029167E78E,1593545749,60.710,32.720,0.000,9.660,19.060,0.000
50029167E78E,1593545928,60.170,32.890,0.000,8.500,18.600,0.000
50029167E78E,1593546108,61.610,32.710,0.000,7.590,16.700,0.000
50029167E78E,1593546288,61.650,32.770,0.000,7.290,17.260,0.000
50029167E78E,1593546468,61.410,32.810,0.000,9.430,21.530,0.000
50029167E78E,1593546649,62.310,32.610,0.000,9.630,22.390,0.000
50029167E78E,1593546827,62.970,32.549,0.000,8.800,23.930,0.000
50029167E78E,1593547009,62.580,32.630,0.000,10.500,28.500,0.000
50029167E78E,1593547188,61.950,32.790,0.000,16.160,37.830,0.000
50029167E78E,1593547367,62.660,32.659,0.000,13.930,32.700,0.000
50029167E78E,1593547548,63.030,32.570,0.000,11.330,29.400,0.000
50029167E78E,1593547728,63.670,32.439,0.000,10.300,28.730,0.000
50029167E78E,1593547909,62.820,32.659,0.000,11.160,28.500,0.000
50029167E78E,1593548089,62.570,32.680,0.000,9.990,26.500,0.000
50029167E78E,1593548269,62.840,32.659,0.000,9.060,23.830,0.000
50029167E78E,1593548448,62.770,32.680,0.000,8.189,18.100,0.000
50029167E78E,1593548627,63.220,32.610,0.000,8.300,19.000,0.000
50029167E78E,1593548808,64.090,32.330,0.000,8.860,19.790,0.000
50029167E78E,1593548989,63.400,32.490,0.000,8.590,21.360,0.000
50029167E78E,1593549169,63.420,32.400,0.000,9.190,20.490,0.000
50029167E78E,1593549348,62.370,32.650,0.000,9.330,21.060,0.000
50029167E78E,1593549529,62.380,32.689,0.000,9.300,18.960,0.000
50029167E78E,1593549708,62.850,32.619,0.000,10.030,22.390,0.000
50029167E78E,1593549890,63.530,32.439,0.000,10.560,24.560,0.000
