NodeId,Time,Hum,Tem,Pm1,Pm2p5,Pm10,CO
DC4F227E68C4,1593536467,57.700,33.370,0.000,5.090,9.530,0.000
DC4F227E68C4,1593536651,57.820,33.350,0.000,5.130,9.630,0.000
DC4F227E68C4,1593536830,58.160,33.310,0.000,5.460,10.830,0.000
DC4F227E68C4,1593537009,58.420,33.320,0.000,5.160,9.660,0.000
DC4F227E68C4,1593537188,58.640,33.300,0.000,5.560,9.760,0.000
DC4F227E68C4,1593537369,58.900,33.280,0.000,5.830,9.960,0.000
DC4F227E68C4,1593537551,59.090,33.260,0.000,5.630,9.130,0.000
DC4F227E68C4,1593537772,59.210,33.260,0.000,5.230,7.500,0.000
DC4F227E68C4,1593537952,59.350,33.240,0.000,4.900,8.290,0.000
DC4F227E68C4,1593538150,59.490,33.210,0.000,5.400,9.590,0.000
DC4F227E68C4,1593538327,59.610,33.190,0.000,5.930,11.800,0.000
DC4F227E68C4,1593538509,59.680,33.190,0.000,5.830,9.660,0.000
DC4F227E68C4,1593538687,59.670,33.190,0.000,5.900,12.160,0.000
DC4F227E68C4,1593538871,59.530,33.190,0.000,5.630,10.090,0.000
DC4F227E68C4,1593539047,59.740,33.180,0.000,4.930,10.090,0.000
DC4F227E68C4,1593539229,60.120,33.170,0.000,5.000,8.660,0.000
DC4F227E68C4,1593539410,60.210,33.160,0.000,4.830,9.900,0.000
DC4F227E68C4,1593539591,60.210,33.150,0.000,4.860,10.000,0.000
DC4F227E68C4,1593539767,60.370,33.140,0.000,5.290,11.000,0.000
DC4F227E68C4,1593539950,60.600,33.130,0.000,4.960,9.300,0.000
DC4F227E68C4,1593540127,60.730,33.120,0.000,5.500,10.160,0.000
DC4F227E68C4,1593540307,60.840,33.100,0.000,5.430,10.330,0.000
DC4F227E68C4,1593540489,60.900,33.090,0.000,5.330,9.660,0.000
DC4F227E68C4,1593540671,60.880,33.060,0.000,5.560,9.060,0.000
DC4F227E68C4,1593540851,60.940,33.040,0.000,5.060,11.330,0.000
DC4F227E68C4,1593541032,61.130,33.040,0.000,5.160,8.830,0.000
DC4F227E68C4,1593541207,61.140,33.030,0.000,5.460,10.960,0.000
DC4F227E68C4,1593541389,61.270,33.010,0.000,5.760,11.090,0.000
DC4F227E68C4,1593541568,61.250,32.990,0.000,5.460,9.800,0.000
DC4F227E68C4,1593541750,61.340,32.980,0.000,5.830,11.130,0.000
DC4F227E68C4,1593541929,61.360,32.980,0.000,6.300,10.630,0.000
DC4F227E68C4,1593542108,61.590,32.940,0.000,6.430,11.460,0.000
DC4F227E68C4,1593542286,61.820,32.930,0.000,6.160,11.460,0.000
DC4F227E68C4,1593542469,61.900,32.930,0.000,6.860,12.800,0.000
DC4F227E68C4,1593542650,62.050,32.900,0.000,6.900,14.630,0.000
DC4F227E68C4,1593542831,62.210,32.900,0.000,7.960,15.030,0.000
DC4F227E68C4,1593543011,62.310,32.890,0.000,8.100,14.640,0.000
DC4F227E68C4,1593543190,62.460,32.860,0.000,8.430,14.560,0.000
DC4F227E68C4,1593543368,62.640,32.840,0.000,8.000,17.560,0.000
DC4F227E68C4,1593543547,62.650,32.830,0.000,21.930,25.060,0.000
DC4F227E68C4,1593543728,62.750,32.810,0.000,33.130,36.660,0.000
DC4F227E68C4,1593543911,62.760,32.800,0.000,17.660,20.330,0.000
DC4F227E68C4,1593544087,62.740,32.780,0.000,12.060,15.300,0.000
DC4F227E68C4,1593544271,62.650,32.759,0.000,11.760,16.600,0.000
DC4F227E68C4,1593544448,62.730,32.740,0.000,18.060,23.960,0.000
DC4F227E68C4,1593544631,62.890,32.729,0.000,14.160,18.060,0.000
DC4F227E68C4,1593544791,62.990,32.720,0.000,12.260,18.560,0.000
DC4F227E68C4,1593544973,63.000,32.729,0.000,10.730,16.860,0.000
DC4F227E68C4,1593545152,63.030,32.729,0.000,10.300,16.630,0.000
DC4F227E68C4,1593545332,63.120,32.729,0.000,10.060,18.800,0.000
DC4F227E68C4,1593545512,63.260,32.729,0.000,10.760,19.060,0.000
DC4F227E68C4,1593545693,63.250,32.720,0.000,14.760,27.230,0.000
DC4F227E68C4,1593545871,63.180,32.710,0.000,16.500,35.430,0.000
DC4F227E68C4,1593546053,63.210,32.710,0.000,16.760,39.390,0.000
DC4F227E68C4,1593546231,63.300,32.710,0.000,14.230,33.160,0.000
DC4F227E68C4,1593546414,63.420,32.720,0.000,15.630,40.100,0.000
DC4F227E68C4,1593546591,63.510,32.710,0.000,15.500,36.230,0.000
DC4F227E68C4,1593546773,63.560,32.700,0.000,15.760,37.430,0.000
DC4F227E68C4,1593546952,63.640,32.670,0.000,15.560,35.360,0.000
DC4F227E68C4,1593547131,63.820,32.650,0.000,15.590,36.500,0.000
DC4F227E68C4,1593547310,63.920,32.650,0.000,15.760,34.730,0.000
DC4F227E68C4,1593547490,63.930,32.659,0.000,15.690,37.130,0.000
DC4F227E68C4,1593547675,64.090,32.680,0.000,15.730,37.060,0.000
DC4F227E68C4,1593547851,64.090,32.670,0.000,15.460,33.560,0.000
DC4F227E68C4,1593548032,64.120,32.659,0.000,15.360,35.790,0.000
DC4F227E68C4,1593548213,64.540,32.610,0.000,16.530,36.360,0.000
DC4F227E68C4,1593548390,65.140,32.570,0.000,15.890,29.430,0.000
DC4F227E68C4,1593548570,65.190,32.580,0.000,18.500,28.560,0.000
DC4F227E68C4,1593548750,65.330,32.570,0.000,25.230,38.860,0.000
DC4F227E68C4,1593548933,65.420,32.570,0.000,18.430,30.230,0.000
DC4F227E68C4,1593549114,65.740,32.600,0.000,16.190,29.730,0.000
DC4F227E68C4,1593549292,66.220,32.610,0.000,15.430,24.960,0.000
DC4F227E68C4,1593549471,66.710,32.610,0.000,14.230,24.030,0.000
DC4F227E68C4,1593549651,67.040,32.610,0.000,13.690,24.430,0.000
DC4F227E68C4,1593549833,67.420,32.590,0.000,13.900,22.000,0.000
DC4F227E68C4,1593550015,67.850,32.580,0.000,14.400,25.360,0.000
DC4F227E68C4,1593550191,68.050,32.590,0.000,16.360,26.200,0.000
DC4F227E68C4,1593550370,68.150,32.580,0.000,16.460,28.730,0.000
DC4F227E68C4,1593550550,68.250,32.570,0.000,18.230,26.960,0.000
DC4F227E68C4,1593550734,68.510,32.580,0.000,16.890,27.630,0.000
DC4F227E68C4,1593550913,69.010,32.549,0.000,15.030,25.930,0.000
DC4F227E68C4,1593551093,69.240,32.540,0.000,16.000,26.390,0.000
DC4F227E68C4,1593551274,69.380,32.520,0.000,14.960,28.430,0.000
DC4F227E68C4,1593551450,69.470,32.549,0.000,15.660,27.100,0.000
DC4F227E68C4,1593551632,69.590,32.540,0.000,17.530,26.800,0.000
DC4F227E68C4,1593551811,69.830,32.530,0.000,15.930,26.130,0.000
DC4F227E68C4,1593551994,70.030,32.540,0.000,16.500,25.690,0.000
DC4F227E68C4,1593552171,70.150,32.520,0.000,20.060,29.860,0.000
DC4F227E68C4,1593552350,70.430,32.509,0.000,22.530,35.200,0.000
DC4F227E68C4,1593552531,70.700,32.509,0.000,22.600,36.260,0.000
