NodeId,Time,Hum,Tem,Pm1,Pm2p5,Pm10,CO
50029167ED03,1596211270,76.690,29.990,0.000,50.960,58.390,0.000
50029167ED03,1596211447,76.450,30.110,0.000,53.000,61.100,0.000
50029167ED03,1596211627,76.590,30.100,0.000,51.890,59.230,0.000
50029167ED03,1596211809,77.100,29.980,0.000,54.560,61.260,0.000
50029167ED03,1596211988,77.160,30.030,0.000,54.390,63.760,0.000
50029167ED03,1596212169,76.760,30.070,0.000,53.960,61.060,0.000
50029167ED03,1596212349,76.810,29.950,0.000,52.830,59.790,0.000
50029167ED03,1596212529,77.100,29.970,0.000,51.960,58.860,0.000
50029167ED03,1596212710,77.060,29.920,0.000,51.700,59.960,0.000
50029167ED03,1596212887,76.880,29.950,0.000,50.260,57.030,0.000
50029167ED03,1596213068,76.750,29.960,0.000,48.400,55.460,0.000
50029167ED03,1596213250,76.820,29.960,0.000,48.600,54.600,0.000
50029167ED03,1596213430,76.950,29.920,0.000,48.200,58.030,0.000
50029167ED03,1596213611,77.580,29.950,0.000,49.290,59.000,0.000
50029167ED03,1596213790,77.540,29.990,0.000,49.960,60.590,0.000
50029167ED03,1596213969,77.800,30.010,0.000,50.460,62.830,0.000
50029167ED03,1596214151,77.400,30.150,0.000,52.630,65.800,0.000
50029167ED03,1596214331,77.340,30.200,0.000,53.130,65.500,0.000
50029167ED03,1596214507,77.080,30.280,0.000,52.460,64.900,0.000
50029167ED03,1596214689,76.780,30.340,0.000,53.460,66.230,0.000
50029167ED03,1596214871,77.140,30.320,0.000,52.500,65.030,0.000
50029167ED03,1596215051,78.270,30.160,0.000,60.200,77.500,0.000
50029167ED03,1596215231,77.960,30.220,0.000,53.660,65.690,0.000
50029167ED03,1596215409,78.190,30.200,0.000,60.760,75.060,0.000
50029167ED03,1596215587,77.400,30.300,0.000,61.890,78.630,0.000
50029167ED03,1596215767,77.320,30.360,0.000,62.700,77.130,0.000
50029167ED03,1596215950,76.660,30.240,0.000,56.960,71.790,0.000
50029167ED03,1596216131,77.960,30.030,0.000,57.960,76.160,0.000
50029167ED03,1596216311,78.280,30.150,0.000,60.630,78.000,0.000
50029167ED03,1596216488,78.330,30.090,0.000,61.600,75.000,0.000
50029167ED03,1596216668,78.030,29.970,0.000,62.460,76.030,0.000
50029167ED03,1596216848,78.940,29.930,0.000,64.260,78.160,0.000
50029167ED03,1596217031,78.500,30.000,0.000,64.230,79.330,0.000
50029167ED03,1596217208,77.850,30.010,0.000,63.660,77.660,0.000
50029167ED03,1596217386,77.560,30.050,0.000,63.630,78.900,0.000
50029167ED03,1596217567,78.250,30.060,0.000,66.200,85.530,0.000
50029167ED03,1596217751,78.160,30.160,0.000,73.460,92.130,0.000
50029167ED03,1596217930,78.730,30.080,0.000,69.930,90.790,0.000
50029167ED03,1596218109,78.590,30.140,0.000,71.900,91.130,0.000
50029167ED03,1596218290,79.880,30.050,0.000,69.360,88.000,0.000
