NodeId,Time,Hum,Tem,Pm1,Pm2p5,Pm10,CO
DC4F227DC944,1596461235,63.570,31.980,0.000,7.430,18.430,0.000
DC4F227DC944,1596461408,63.780,31.900,0.000,6.260,16.930,0.000
DC4F227DC944,1596461588,63.580,31.920,0.000,7.660,20.190,0.000
DC4F227DC944,1596461766,63.710,31.910,0.000,7.560,19.430,0.000
DC4F227DC944,1596461950,63.550,31.950,0.000,6.230,16.100,0.000
DC4F227DC944,1596462133,63.760,31.900,0.000,6.130,15.560,0.000
DC4F227DC944,1596462307,63.850,31.910,0.000,5.930,16.600,0.000
DC4F227DC944,1596462608,64.010,31.820,0.000,5.730,16.860,0.000
DC4F227DC944,1596462789,64.030,31.840,0.000,6.430,17.730,0.000
DC4F227DC944,1596462969,64.120,31.850,0.000,6.130,16.030,0.000
DC4F227DC944,1596463149,63.660,31.930,0.000,6.230,17.630,0.000
DC4F227DC944,1596463327,63.670,31.940,0.000,5.590,16.530,0.000
DC4F227DC944,1596463509,63.290,32.000,0.000,6.500,18.960,0.000
DC4F227DC944,1596463687,63.370,31.980,0.000,7.060,20.460,0.000
DC4F227DC944,1596463884,63.240,32.009,0.000,8.250,20.250,0.000
DC4F227DC944,1596464057,63.310,31.950,0.000,9.960,23.130,0.000
DC4F227DC944,1596464228,63.770,31.960,0.000,8.460,19.860,0.000
DC4F227DC944,1596464408,64.019,31.890,0.000,8.230,19.000,0.000
DC4F227DC944,1596464587,64.099,31.870,0.000,7.060,18.060,0.000
DC4F227DC944,1596464770,64.280,31.850,0.000,7.900,21.100,0.000
DC4F227DC944,1596464947,64.260,31.820,0.000,6.400,16.500,0.000
DC4F227DC944,1596465131,64.040,31.860,0.000,7.860,18.300,0.000
DC4F227DC944,1596465319,64.330,31.790,0.000,8.750,18.290,0.000
DC4F227DC944,1596465671,64.450,31.700,0.000,8.760,21.600,0.000
DC4F227DC944,1596465913,64.310,31.720,0.000,10.260,27.100,0.000
DC4F227DC944,1596466089,64.610,31.700,0.000,8.400,20.960,0.000
DC4F227DC944,1596466269,64.430,31.730,0.000,9.230,22.630,0.000
DC4F227DC944,1596466452,64.510,31.740,0.000,9.660,23.230,0.000
DC4F227DC944,1596466751,64.319,31.770,0.000,9.900,21.260,0.000
DC4F227DC944,1596467109,63.890,31.830,0.000,10.830,25.100,0.000
DC4F227DC944,1596467287,64.260,31.830,0.000,9.330,22.330,0.000
DC4F227DC944,1596467464,63.970,31.870,0.000,10.630,25.890,0.000
DC4F227DC944,1596467633,64.080,31.910,0.000,11.300,27.530,0.000
DC4F227DC944,1596467827,63.620,31.990,0.000,13.590,31.500,0.000
DC4F227DC944,1596468008,63.830,31.940,0.000,10.360,25.260,0.000
DC4F227DC944,1596468248,63.740,31.950,0.000,11.600,29.000,0.000
DC4F227DC944,1596468428,64.060,31.890,0.000,10.060,25.600,0.000
DC4F227DC944,1596468618,63.960,31.950,0.000,10.830,30.690,0.000
DC4F227DC944,1596468787,63.860,31.940,0.000,11.690,28.600,0.000
DC4F227DC944,1596469150,63.700,32.000,0.000,11.800,26.690,0.000
DC4F227DC944,1596469328,63.940,31.910,0.000,10.800,25.930,0.000
DC4F227DC944,1596469510,63.800,32.000,0.000,15.290,34.630,0.000
DC4F227DC944,1596469686,63.530,32.040,0.000,13.560,29.790,0.000
DC4F227DC944,1596469870,63.570,32.070,0.000,10.660,26.330,0.000
DC4F227DC944,1596470052,63.510,32.080,0.000,14.660,31.500,0.000
DC4F227DC944,1596470230,63.610,32.040,0.000,11.030,25.060,0.000
DC4F227DC944,1596470410,63.470,32.090,0.000,10.830,24.100,0.000
DC4F227DC944,1596470588,63.560,32.100,0.000,10.160,23.190,0.000
DC4F227DC944,1596470769,63.530,32.119,0.000,10.690,23.460,0.000
DC4F227DC944,1596470951,63.430,32.119,0.000,11.130,25.160,0.000
DC4F227DC944,1596471191,63.570,32.119,0.000,10.230,23.830,0.000
DC4F227DC944,1596471370,63.430,32.110,0.000,12.560,25.630,0.000
DC4F227DC944,1596471547,63.720,32.060,0.000,11.830,25.600,0.000
DC4F227DC944,1596471728,63.580,32.060,0.000,12.090,25.500,0.000
DC4F227DC944,1596471910,63.800,32.020,0.000,11.330,23.960,0.000
DC4F227DC944,1596472087,63.500,32.060,0.000,12.030,23.500,0.000
DC4F227DC944,1596472267,63.800,32.030,0.000,10.160,21.930,0.000
DC4F227DC944,1596472450,63.620,32.070,0.000,12.930,26.790,0.000
DC4F227DC944,1596472690,63.970,32.049,0.000,11.860,26.000,0.000
DC4F227DC944,1596472869,63.810,32.049,0.000,12.760,28.860,0.000
DC4F227DC944,1596473049,64.080,32.020,0.000,13.360,29.230,0.000
DC4F227DC944,1596473227,64.110,32.020,0.000,14.160,29.800,0.000
DC4F227DC944,1596473409,64.489,31.950,0.000,10.590,25.330,0.000
DC4F227DC944,1596473589,64.450,31.920,0.000,11.730,28.690,0.000
DC4F227DC944,1596473768,64.629,31.840,0.000,9.550,26.200,0.000
DC4F227DC944,1596473948,64.470,31.890,0.000,10.860,28.000,0.000
DC4F227DC944,1596474126,64.580,31.850,0.000,9.760,22.500,0.000
DC4F227DC944,1596474310,64.569,31.870,0.000,10.030,23.260,0.000
DC4F227DC944,1596474489,64.800,31.790,0.000,9.460,21.390,0.000
DC4F227DC944,1596474786,64.390,31.850,0.000,10.690,34.160,0.000
DC4F227DC944,1596474968,64.560,31.770,0.000,10.460,27.100,0.000
DC4F227DC944,1596475151,65.110,31.590,0.000,9.360,22.390,0.000
DC4F227DC944,1596475330,65.580,31.440,0.000,8.930,19.260,0.000
DC4F227DC944,1596475509,66.220,31.290,0.000,9.060,21.100,0.000
DC4F227DC944,1596475690,66.540,31.180,0.000,9.130,20.790,0.000
DC4F227DC944,1596475869,66.960,31.050,0.000,9.460,25.760,0.000
DC4F227DC944,1596476287,67.780,30.870,0.000,10.190,25.600,0.000
DC4F227DC944,1596476469,67.930,30.840,0.000,9.590,21.560,0.000
DC4F227DC944,1596476647,67.710,30.830,0.000,9.060,19.160,0.000
DC4F227DC944,1596476829,67.760,30.800,0.000,8.560,19.330,0.000
DC4F227DC944,1596477008,68.030,30.780,0.000,8.760,20.760,0.000
DC4F227DC944,1596477187,68.120,30.750,0.000,8.860,19.860,0.000
DC4F227DC944,1596477391,68.080,30.720,0.000,8.800,18.690,0.000
DC4F227DC944,1596477669,68.470,30.620,0.000,8.460,18.960,0.000
DC4F227DC944,1596477848,68.590,30.610,0.000,8.090,19.130,0.000
DC4F227DC944,1596478029,68.750,30.610,0.000,7.930,19.760,0.000
DC4F227DC944,1596478207,68.690,30.620,0.000,8.160,19.360,0.000
DC4F227DC944,1596478391,68.710,30.620,0.000,8.960,19.630,0.000
DC4F227DC944,1596478630,68.710,30.600,0.000,9.100,19.030,0.000
DC4F227DC944,1596478808,68.650,30.590,0.000,8.630,19.000,0.000
DC4F227DC944,1596478991,68.690,30.570,0.000,8.400,21.160,0.000
DC4F227DC944,1596479169,68.760,30.550,0.000,8.530,22.030,0.000
DC4F227DC944,1596479468,68.990,30.470,0.000,10.060,25.390,0.000
DC4F227DC944,1596479650,68.960,30.480,0.000,11.890,30.800,0.000
DC4F227DC944,1596479830,69.060,30.460,0.000,15.160,38.330,0.000
DC4F227DC944,1596480010,69.260,30.460,0.000,16.600,38.130,0.000
DC4F227DC944,1596480189,69.290,30.470,0.000,20.690,39.160,0.000
DC4F227DC944,1596480367,69.330,30.470,0.000,26.630,48.460,0.000
DC4F227DC944,1596480547,69.320,30.470,0.000,32.830,57.430,0.000
DC4F227DC944,1596480728,69.630,30.460,0.000,37.360,61.060,0.000
DC4F227DC944,1596481030,70.030,30.430,0.000,40.200,71.730,0.000
DC4F227DC944,1596481208,70.420,30.390,0.000,36.860,66.860,0.000
DC4F227DC944,1596481388,70.490,30.360,0.000,32.500,52.860,0.000
DC4F227DC944,1596481567,70.680,30.350,0.000,28.730,46.330,0.000
DC4F227DC944,1596481750,70.710,30.340,0.000,27.660,44.230,0.000
DC4F227DC944,1596481928,70.880,30.340,0.000,26.060,41.230,0.000
DC4F227DC944,1596482107,70.890,30.330,0.000,25.560,41.430,0.000
DC4F227DC944,1596482290,70.770,30.340,0.000,26.190,42.200,0.000
DC4F227DC944,1596482479,70.880,30.340,0.000,25.500,40.460,0.000
DC4F227DC944,1596482838,71.050,30.290,0.000,28.500,45.660,0.000
DC4F227DC944,1596483008,70.940,30.300,0.000,31.160,53.500,0.000
DC4F227DC944,1596483190,70.870,30.300,0.000,32.100,62.430,0.000
DC4F227DC944,1596483370,70.870,30.300,0.000,31.000,51.500,0.000
DC4F227DC944,1596483551,70.710,30.300,0.000,35.260,54.200,0.000
DC4F227DC944,1596483728,70.810,30.290,0.000,35.200,54.790,0.000
DC4F227DC944,1596483907,70.880,30.260,0.000,34.790,55.260,0.000
